id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	acoustic	0.1037	0.4684	1	10	10	4	2011
2	acoustic model	0.4424	0.7663	4	15	21	3	2010.6667
3	acoustic oscillation	-0.7285	-0.6694	3	25	38	3	2018.6667
4	acoustic resonator	0.0263	0.74	1	23	24	3	2016
5	acoustic signal	0.7493	0.6314	1	3	3	2	2017
6	air	-0.6321	-0.305	5	21	31	4	2015.75
7	amplitude	-0.2128	-0.0994	3	38	51	6	2010.6667
8	aulos	-0.2537	0.3443	1	10	10	1	2021
9	axisymmetric acoustic pipe	0.3411	0.7946	4	13	19	2	2008.5
10	bandwidth	-0.9574	0.2323	5	13	23	1	2018
11	basis	-0.4307	0.3445	4	10	10	2	2011
12	boundary	0.269	0.241	4	16	18	3	2014
13	brass instrument	-0.2483	0.6029	1	14	15	3	2020
14	case study	0.7095	-0.3242	4	14	15	2	2017.5
15	cavity	-0.3133	-0.2282	5	27	47	5	2008.4
16	collision	-0.4958	0.0295	1	19	19	2	2014
17	component	0.453	0.2101	6	43	46	4	2013.75
18	compressible large eddy simulation	-0.6572	-0.6911	3	22	25	2	2016
19	control	0.4249	-0.0396	2	43	72	7	2011.1429
20	cooperation	0.4332	-0.1872	2	31	52	2	2009
21	criterion	1.096	-0.3729	2	28	49	2	2009
22	cross section	0.001	0.3665	4	17	23	3	2007
23	decrease	0.3456	-0.614	5	9	10	2	2009
24	delay	0.1618	0.6619	4	19	21	3	2008
25	denition	0.6014	-0.5725	2	34	55	3	2007
26	detail	-0.0501	-0.3829	4	26	27	3	2016.6667
27	digital signal processing	-0.4007	0.9128	1	8	8	2	2011.5
28	discontinuity	0.1282	0.755	4	17	18	2	2009.5
29	distance	-0.4491	-0.3387	3	21	24	5	2015
30	duct	0.4793	-0.3424	2	32	37	4	2014.25
31	edge	-0.476	-0.6833	3	15	15	2	2015
32	edge tone	-0.6896	-0.4499	1	12	12	2	2018.5
33	eect	-0.6076	0.3798	1	13	13	2	2010
34	energy	0.6264	0.2869	6	44	68	5	2015.4
35	excitation	1.0284	-0.3826	2	28	49	2	2009
36	excitation mechanism	-0.152	0.7939	1	24	26	4	2021.75
37	excitation model	0.0757	0.6053	1	13	13	2	2016
38	experimentation	-0.5018	0.4476	1	10	10	2	2020.5
39	flow tone	0.2149	-0.6761	5	11	14	2	2003
40	flue organ pipe	-0.8188	-0.1752	3	28	42	4	2017
41	flute wind musical instrument	0.0093	-0.7506	3	11	12	2	2020
42	focus	0.2709	-0.4452	4	19	19	3	2016.6667
43	foot	-0.5508	-0.8162	3	20	26	2	2021.5
44	frequency domain	-0.5335	0.7976	6	3	3	2	2009
45	fundamental frequency	-0.7822	0.5839	1	11	11	2	2016.5
46	general class	1.0031	-0.4869	2	28	49	2	2009
47	geometry	-0.5566	0.0182	3	22	23	5	2016.4
48	helmholtz resonator	-0.8071	-0.3229	3	22	30	3	2018.6667
49	initial condition	0.3759	0.1892	4	11	12	2	2016.5
50	instruments	-0.3709	0.0742	1	24	26	3	2012.3333
51	inuence	-0.1303	-0.2314	3	21	25	4	2012.75
52	jet	-0.9316	-0.1822	3	34	48	7	2013.5714
53	jet motion	-0.7622	-0.6021	3	22	25	2	2016
54	jet velocity	-0.8313	-0.4273	3	26	33	3	2019.6667
55	length	-0.2875	-0.1101	5	33	50	5	2010.6
