id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
2	effect	-0.1422	0.7249	3	1	1	4	2013.25
3	flow	0.1532	0.0729	2	4	4	2	2005
4	flow tone	-0.1091	0.3778	3	3	3	2	2003
5	flue organ pipe	-0.7351	-0.074	1	3	5	3	2018.6667
6	measurement	0.581	-0.0673	2	3	4	4	2008.25
10	numerical study	-0.7054	0.1094	1	3	4	2	2018.5
11	organ pipe	0.9808	-0.2094	4	2	3	8	2012.5
12	oscillation	-0.309	0.0149	1	5	5	2	2013.5
14	role	-0.6439	-0.2947	1	4	5	3	2019.3333
16	synchronization	1.3062	-0.3202	4	1	2	2	2011
17	vibration	0.5031	0.2456	2	2	3	3	2005.6667
18	wind instrument sound	-0.8795	-0.5798	1	1	1	2	2012
