id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	case	0.0269	0.8906	3	0	0	2	2015
2	clarinet	-0.7185	-0.1512	1	5	6	2	2014.5
3	control parameter	-0.6641	-0.345	1	3	3	2	2014.5
4	experimental result	0.5328	-0.4863	2	4	7	2	2013
5	jet	0.717	-0.2819	2	5	15	5	2013.2
6	measurement	0.6398	-0.4031	2	4	8	4	2014.25
7	organ pipe	0.6156	0.3332	2	5	17	7	2013.7143
8	oscillation	0.7541	-0.0178	2	5	12	4	2013.5
9	oscillation threshold	-0.5838	-0.4544	1	5	6	2	2014.5
10	pitch	-0.4585	-0.5702	1	3	3	2	2014.5
11	pressure	-0.6255	0.3166	1	5	5	2	2015
12	reed	-0.6267	0.1598	1	5	5	2	2014.5
13	sound quality	-0.3006	0.7668	1	2	2	2	2013.5
14	upper lip	0.6915	0.2426	2	5	7	2	2012.5
